Name,#,2022 PSEFS (initial),2023 PSEFS (initial),2024 PSEFS (initial),notes/priority,
The Revolution,360,2,2,2,,x if never encountered
Team XBOT,488,1,1,1,,
Titan Robotics Club,492,2,2,2,,welcome to hell! all the data points we dont have are marked as -
Nerds of the North,568,2,2,2,x,
High Desert Droids,753,3,3,3,"check, 2024 could be 2",
PHRED,847,no events 2022,4,4,x - last did well in 2018,
NRG (Newport Robotics Group),948,1,2,2,WHO ranked them as a 3 answer fast i have some words,
Wolverine Robotics,949,-,3,3,,
CV Robotics,955,-,-,-,x,
SWARM - South and West Albany Robotics Maniacs,957,-,-,-,x,
Spartan Robotics,997,-,-,-,x,
Seabot,1258,4,-,-,,
Pack of Parts,1294,3,3,3,,
Issaquah Robotics Society,1318,1,1,1,,
Scalawags,1359,-,-,-,x,
Error Code Xero,1425,-,-,-,x,
Metal Beavers,1432,-,-,-,x,
Wildcats,1510,-,-,-,x,
Flaming Chickens,1540,-,-,-,x,
CALibrate Robotics,1571,-,-,-,x,
The Dragons,1595,-,-,-,,
Chill Out,1778,2,2,2,,
Saints Robotics,1899,2,2,2,,
Skunk Works Robotics,1983,1,2,1,,
Bear Metal,2046,1,1,1,,
Phoenix Force Robotics,2097,1,3,4,,
CHUCK,2147,-,1,-,,
Jesuit Robotics,2374,-,-,-,x,
Rebel Alliance,2411,-,-,-,x,
Robototes,2412,3,1,1,,
Team Mean Machine,2471,-,-,-,x,
SERT,2521,-,-,-,x,
Royal Robotics,2522,1,1,2,,
Skynet,2550,-,-,-,x,
SOTAbots,2557,1,-,2,,
Seamonsters,2605,-,-,-,x,
Lake Monsters,2635,-,-,-,x,
Pigmice,2733,-,-,-,x,
StormBots,2811,-,-,-,x,
Flying Hedgehogs,2898,-,-,-,x,
NeoBots,2903,3,4,4,,
Sentinel Prime Robotics,2906,4,-,-,,
Lion Robotics,2907,1,-,-,,
Jack in the Bot,2910,1,1,1,,
Pandamonium,2915,-,-,-,x,
Robo Sparks,2926,-,-,2,,
GKHS Pi Rho Techs,2927,4,-,-,,
Viking Robotics,2928,1,3,3,,
Emeral Ridge JAGBOTS,2929,5,-,-,,
Sonic Squirrels,2930,1,1,1,,
Titanium Tigers,2944,-,-,-,x,
The Spartabots,2976,1,1,2,,
Whidbey Island Wildcats,2980,2,3,3,,
Hotwire,2990,-,-,2,,
My Favorite Team,3024,-,-,-,x,
BremerTron,3049,4,4,4,,
Team Pronto,3070,4,3,3,,
Gladiators,3131,-,-,-,x,
Panther Robotics,3218,2,-,1,,
"TREAD (Trojan Robotics, Engineering, And Design)",3219,3,-,3,,
Robotics of Central Kitsap (ROCK 3223),3223,-,-,-,x,
Event Horizon,3237,-,-,-,x,
Cyborg Ferrets,3238,-,-,-,x,
Valhallabots,3268,5,4,4,,
Horns of Havoc,3393,4,-,-,,
HIGH TEKERZ,3574,-,-,-,,
the Talon,3588,3,-,-,,
Generals,3636,-,-,-,x,
CPR - Cedar Park Robotics,3663,1,-,-,,
C.Y.B.O.R.G. Seagulls,3673,-,-,-,x,
CloverBots,3674,-,-,-,x,
Robo-Raiders,3681,4,3,4,,
GearHead Pirates,3693,-,-,-,x,
Iron Mustang,3711,-,-,-,x,
RoboCats,3712,-,-,-,x,
Chargers,3786,-,-,4,,
Bits & Bots,3812,-,-,-,x,
"Sequim Robotics Federation ""SRF""",3826,3,3,3,,
Mabton LugNutz,3876,-,3,4,,
NerdHerd,4043,-,-,-,x,
Klamath Basin Robotics - STEAMPUNK,4057,-,-,-,x,
Bearcat Robotics,4060,3,-,-,,
SciBorgs,4061,-,-,-,x,
Stealth Robotics,4089,3,1,2,,
Error-4104,4104,-,-,-,,
DEEP SPACE 9'ers,4110,-,-,-,x,
Confidential,4125,-,-,-,x,
LoggerBots,4127,-,-,-,x,
Iron Patriots,4131,3,3,2,,
IMVERT (Mount Vernon Robotics Team),4173,4,4,3,,
Iron Riders,4180,3,3,4,,
ROBOCUBS,4205,3,-,-,,
4-H Botsmiths,4309,3,-,-,,
Olympia Robotics Federation,4450,-,3,3,,
Ramen,4461,-,-,-,x,
R.A.I.D. (Raider Artificial Intelligence Division),4469,2,-,2,,
Shockwave,4488,-,-,-,x,
Otter Chaos,4512,3,2,3,,
Circuit Breakers,4513,-,-,-,,
RoboEagles,4579,3,-,-,,
Byte Sized Robotics,4662,-,-,-,x,
Murphy's Law,4681,-,3,3,,
CyBears,4682,4,4,4,,
Full Metal Robotics,4683,-,-,-,x,
Metal Mallards,4692,-,-,-,x,
Cyber Knights,4911,1,1,1,,
Spartronics,4915,-,2,2,,
The Roboctopi,4918,2,-,-,,
Canine Crusaders,4980,-,3,3,,
LakerBots,5085,last competed 2020,,,x,
Knight Tech,5198,last competed 2020,,,x,
Aldernating Current,5295,-,-,-,x,
SHREC ,5450,-,-,-,x,
Chaos Theory,5468,-,-,-,x,
